Country,Region,Education and skills,Jobs,Income,Safety,Health,Environment,Civic engagement,Accessiblity to services,Housing,Community,Life satisfaction,Overall
Canada,New Brunswick,8.81,6.92,4.49,8.97,6.64,9.77,6.47,8.38,10,8.61,8.15,7.93
Canada,Quebec,8.88,8.24,4.4,9.2,8.32,8.35,5.24,7.98,8.45,8.8,8.52,7.85
Canada,Ontario,9.34,7.93,5.1,8.85,8.19,7.48,4.64,8.55,8.45,8.05,8.15,7.7
Canada,Manitoba,8.72,8.22,4.55,6.44,5.87,8.94,4.93,8.02,7.87,9.52,9.26,7.48
Canada,Saskatchewan,8.68,8.39,5.16,6.78,5.87,9.08,5.3,8.4,9.6,7.05,8.52,7.53
Canada,Alberta,9.07,8.1,5.83,7.24,7.28,8.9,4.66,8.98,9.02,7.89,8.52,7.77
Canada,British Columbia,9.36,8.35,5.52,7.7,8.66,8.99,5.42,9.2,8.45,9.76,9.26,8.24
Canada,Yukon,,8.53,7.15,0,4.14,9.45,6.65,,8.45,,,6.34
Canada,Northwest Territories,,7.43,6.81,5.29,2.69,8.72,3.92,,5,,,5.69
Canada,Nunavut,,2.5,5.08,0,0,10,2.32,,2.13,,,3.15
Switzerland,Lake Geneva Region,7.77,7.17,5.4,9.66,9.67,5,1.07,8.5,3.33,8.96,8.52,6.82
Switzerland,Espace Mittelland,8.24,9.38,4.93,9.66,8.82,5.73,1.38,8.5,4.54,9.36,8.89,7.22
Switzerland,Northwestern Switzerland ,8.52,9.4,5.43,9.89,9.55,5,1.31,8.67,4.66,9.44,8.52,7.31
Switzerland,Zurich,8.77,9.38,6.21,9.89,9.55,5.09,1.11,8.83,3.97,8.65,9.63,7.37
Switzerland,Eastern Switzerland,8.31,9.58,5.05,10,9.22,5.83,1.11,8.67,5.06,9.56,10,7.49
Switzerland,Central Switzerland,8.5,9.82,5.7,10,9.74,5.78,2.3,8.67,4.48,9.48,10,7.68
Switzerland,Ticino,8.13,7.74,4.87,10,10,2.11,2.59,7.67,4.37,7.09,8.15,6.61
Chile,Tarapacá,5.85,6.81,0.85,0,7.27,5.73,0,6.21,1.26,4.1,5.56,3.97
Chile,Antofagasta,6.45,5.45,1.28,0,6.03,6.51,0,7.71,1.21,6.29,7.04,4.36
Chile,Atacama,5.15,4.76,0.78,0,7.55,8.26,0.29,5.03,1.55,6.61,1.85,3.8
Chile,Coquimbo,4.72,5.72,0.53,2.41,7.93,8.3,0.57,4.47,1.72,7.37,6.3,4.55
Chile,Valparaíso,5.85,5.67,0.76,0.11,7.29,5.23,1.11,6.33,2.07,6.29,7.41,4.37
Chile,O'Higgins,3.81,6.51,0.62,2.76,7.27,3.49,1.25,4.91,1.72,3.75,4.81,3.72
Chile,Maule,2.58,6.71,0.48,0.34,6.67,6.74,1.33,4.2,1.67,1.12,5.56,3.4
Chile,Bío-Bío,4.67,5.44,0.57,1.15,7.16,6.88,1.13,5.31,1.67,4.06,4.81,3.9
Chile,Araucanía,3.85,6.04,0.54,0.34,6.6,8.39,0.47,4.19,1.61,4.5,4.81,3.76
Chile,Los Lagos,3.17,8.25,0.68,2.99,6.41,9.63,0.27,5.4,1.95,6.06,5.56,4.58
Chile,Aysén,4.14,9.49,1.26,0,7.02,10,0,6.28,1.78,0,10,4.54
Chile,Magallanes y Antártica,6.02,7.32,1.37,3.56,5.85,10,0,7.1,2.99,1.04,8.15,4.86
Chile,Santiago Metropolitan,6.01,5.92,1.4,0,7.66,0.28,1.38,7.34,1.67,5.78,6.3,3.97
Chile,Los Rios,4.37,6.71,0.51,0,6.29,9.22,0.9,4.85,,6.41,2.59,4.19
Chile,Arica y Parinacota,6.2,3.96,0.36,1.03,7.42,5.46,0,5.76,,6.69,4.81,4.17
Czech Republic,Prague,10,9.97,4.1,8.51,6.04,3.26,5.2,8.5,2.7,7.61,6.3,6.56
Czech Republic,Central Bohemian Region,10,9.42,3.02,8.97,3.98,4.13,4.44,8.17,3.28,2.71,4.07,5.65
Czech Republic,Southwest,9.98,9.32,2.76,8.74,4.2,4.36,3.92,7.33,3.28,5.94,4.81,5.88
Czech Republic,Northwest,9.11,8.52,2.46,8.51,1.8,3.67,2.16,6.67,3.28,7.65,4.44,5.3
Czech Republic,Northeast,9.91,9.17,2.71,8.74,4.57,1.15,4.21,7,3.28,8.01,5.56,5.84
Czech Republic,Southeast,10,9.17,2.82,9.31,4.86,1.79,4.23,7.5,3.28,7.25,5.19,5.94
Czech Republic,Central Moravia,10,9.02,2.54,9.08,3.99,3.81,3.92,7.17,2.7,8.33,5.56,6.01
Czech Republic,Moravia-Silesia,9.89,8.45,2.5,8.97,2.69,1.01,2.9,7.17,2.13,4.74,4.07,4.96
Germany,Baden-Württemberg,8.18,9.84,6,6.21,7.8,5.18,7.49,9,4.43,8.8,6.67,7.24
Germany,Bavaria,8.56,10,6.02,5.4,7.27,4.36,7.45,8.83,4.43,8.84,6.67,7.08
Germany,Berlin,8.63,7.9,4.79,5.4,6.94,4.82,6.94,9.5,5,9.04,4.81,6.71
Germany,Brandenburg,9.45,9.16,4.71,6.44,6.36,5,6.55,7.33,5.57,7.97,4.07,6.6
Germany,Bremen,8,8.09,5.08,2.76,5.75,5.73,5.95,9.33,5,8.8,6.67,6.47
Germany,Hamburg,8.38,9.13,6.14,4.48,6.76,5.87,7.02,9.67,5,9.24,7.04,7.16
Germany,Hesse,8.27,9.13,5.57,4.48,6.97,5.09,7.23,9.17,4.43,8.01,6.3,6.79
Germany,Mecklenburg-Vorpommern,9.38,8.21,4.38,7.13,6.11,5.83,5.98,7.83,6.15,8.8,5.19,6.82
Germany,Lower Saxony,8.25,9,5.17,2.99,6.16,5.92,7.1,9.5,5,8.61,6.67,6.76
Germany,North Rhine-Westphalia,8.04,8.45,5.33,7.59,6.3,5.28,6.9,9.17,5,8.92,6.3,7.02
Germany,Rhineland-Palatinate,7.95,9.15,5.51,7.36,6.46,5.41,7.37,9.17,5,8.88,6.3,7.14
Germany,Saarland,8.2,8.58,5.02,8.16,5.68,5.6,7.15,8.17,5,8.21,5.93,6.88
Germany,Saxony,9.77,9.26,4.64,6.67,6.81,4.45,6.9,8,6.15,9.08,4.07,6.89
Germany,Saxony-Anhalt,9.3,8.16,4.48,5.17,4.94,5.14,5.4,8.83,6.72,9.32,3.7,6.47
Germany,Schleswig-Holstein,8.52,9.03,5.5,7.47,6.27,6.33,7.08,8.33,5.57,9.64,6.67,7.31
Germany,Thuringia,9.86,9.06,4.57,7.01,5.83,5.18,6.67,8.83,6.15,9.36,4.07,6.96
Denmark,Copenhagen Region,7.84,8.77,4.26,9.31,6.31,6.97,9.03,9.17,5.11,10,9.63,7.86
Denmark,Zealand,6.56,8.26,3.91,9.77,5.58,6.24,9.01,8.5,5.23,9,8.89,7.36
Denmark,Southern Denmark,6.93,8.26,3.78,9.54,6.84,7.16,9.03,9,5.52,9.52,8.89,7.68
Denmark,Central Jutland,7.06,8.47,3.84,9.77,7.1,7.57,9.24,9,5.17,9.96,9.26,7.86
Denmark,Northern Jutland,6.65,8.06,3.79,8.28,6.89,8.21,8.83,9,5.69,10,9.63,7.73
Estonia,North Estonia,9.66,9.11,,5.4,4.54,8.58,5.61,8.85,2.93,7.45,1.11,6.32
Estonia,West Estonia,8.57,7.33,,7.36,3.6,8.21,3.84,7.78,5.23,5.26,1.11,5.83
Estonia,Central Estonia,7.93,7.09,,8.62,2.27,8.39,3.94,7.43,4.37,7.73,2.22,6
Estonia,Northeast Estonia,9.45,3.83,,3.91,0.92,7.94,2.71,7.07,2.76,3.82,0.37,4.28
Estonia,South Estonia,9.11,7.72,,8.62,3.32,7.52,4.29,8.15,4.54,6.06,1.48,6.08
Greece,Attica,8.5,1.12,2.93,9.43,6.41,1.74,5.69,3.5,3.28,3.15,0.37,4.19
Greece,North Aegean,5.45,0.7,2.38,9.31,7.46,2.02,1.13,3.5,3.85,0,3.33,3.56
Greece,South Aegean,5.1,1.95,3.57,10,8.01,0.78,2.92,3.5,3.28,7.09,1.48,4.33
Greece,Crete,5.58,3,2.28,8.62,7.32,1.51,5.54,3.5,3.28,5.54,2.96,4.47
Greece,East Macedonia - Thrace,4.39,1.63,2.03,9.66,5.7,3.62,3.18,4,3.28,1.16,2.96,3.78
Greece,Central Macedonia,6.6,0.58,2.35,10,7.07,4.63,5.13,4,3.28,4.06,0.37,4.37
Greece,West Macedonia,5.35,0,2.49,9.66,7.98,2.57,2.57,4,3.28,3.51,0,3.76
Greece,Epirus,5.49,0.38,2.21,9.77,9.33,3.58,3.53,4,3.28,3.63,0,4.11
Greece,Thessaly,6.38,1.01,2.19,10,7.5,2.94,4.95,4,3.28,3.86,0.74,4.26
Greece,Ionian Islands,4.94,1.84,2.9,8.74,6.32,3.85,2.24,5.33,3.28,5.46,0,4.08
Greece,West Greece,4.39,0.32,1.96,10,7.04,3.49,3.53,4.83,3.28,5.38,2.96,4.29
Greece,Central Greece,5.22,0.8,1.89,9.43,7.63,3.39,4.91,4.83,3.28,2.35,0,3.98
Greece,Peloponnese,5.65,2.54,2.22,9.89,7.43,3.03,2.79,4.83,3.28,3.51,2.96,4.38
Spain,Galicia,4.12,3.76,3.1,9.89,9.23,7.94,3.49,6.67,7.3,8.17,4.44,6.19
Spain,Asturias,5.78,3.42,3.48,9.89,8.52,7.84,3.96,7.17,6.72,9.6,4.44,6.44
Spain,Cantabria,5.58,4.83,3.36,9.89,9.32,7.52,5.48,7.33,5,10,7.04,6.85
Spain,Basque Country,6.56,5.57,4.72,10,9.79,7.06,4.8,8,6.72,9.8,6.67,7.25
Spain,Navarra,5.88,5.78,4.39,9.2,9.74,6.93,5.26,8.33,6.72,10,7.04,7.21
Spain,La Rioja,4.47,5.54,3.58,10,9.82,7.39,5.91,7,6.72,3.75,4.07,6.21
Spain,Aragon,4.92,5.55,3.74,9.77,9.22,7.66,5.77,7.67,6.72,7.57,5.93,6.77
Spain,Madrid,6.42,5.12,4.56,9.77,10,6.51,5.95,8.5,5,8.76,4.81,6.86
Spain,Castile and León,4.3,4.47,3.4,9.89,9.87,7.89,5.54,6.67,7.3,8.65,4.44,6.58
Spain,Castile-La Mancha,2.42,1.87,2.74,9.77,8.87,7.02,6.16,7,6.15,9.72,4.44,6.02
Spain,Extremadura,1.55,0.48,2.43,9.66,8.23,7.39,5.5,6.67,6.72,9.32,5.93,5.81
Spain,Catalonia,4.6,5.36,4.05,9.43,9.35,5.55,4.44,7.5,5.57,7.85,4.81,6.23
Spain,Valencia,3.83,3.14,2.91,9.54,8.53,5.96,6.28,7.17,5.57,8.57,4.44,6
Spain,Balearic Islands,3.73,5.28,3.46,10,8.84,6.28,3.88,8.33,5.57,7.69,6.3,6.31
Spain,Andalusia,2.48,0.58,2.47,9.77,7.77,5.83,4.97,7.17,5,8.45,4.81,5.39
Spain,Murcia,2.76,2.38,2.55,9.43,8.29,5.96,5.71,7.83,5.57,9.48,6.67,6.06
Spain,Ceuta,2.32,0.12,2.85,9.08,6.17,3.07,1.83,8.33,2.7,10,4.81,4.66
Spain,Melilla,3.55,0,2.46,10,6.74,0.28,1.19,6.83,2.7,10,3.7,4.31
Spain,Canary Islands,3.53,1.02,2.72,9.43,8.87,5.18,3.55,7,3.85,8.61,5.19,5.36
Finland,Western Finland,8.93,6.85,3.82,10,7.45,8.94,5.26,9,5.86,8.96,8.89,7.63
Finland,Helsinki-Uusimaa,8.7,7.7,4.65,10,7.98,8.07,5.71,10,4.83,8.8,8.89,7.76
Finland,Southern Finland,8.63,6.77,3.93,10,7.15,8.81,4.97,8.83,5.8,8.8,8.89,7.51
Finland,Eastern and Northern Finland,8.77,6.3,3.68,9.43,6.76,8.72,4.7,9,5.4,8.76,8.89,7.31
Finland,Åland,7.4,10,4.81,10,9.87,9.08,0.9,,7.36,,,7.43
France,Île-de-France,7.75,6.03,5.42,9.08,9.95,4.31,7.82,8.17,3.28,7.89,5.56,6.84
France,Centre - Val de Loire,7.72,5.95,4.45,9.31,8.32,6.01,7.91,6.5,5.57,7.29,5.19,6.75
France,Bourgogne-Franche-Comté,7.74,5.93,4.44,9.08,8.01,5.5,7.72,6.5,5.57,8.05,5.93,6.77
France,Normandy,7.31,5.42,4.33,9.31,7.81,5.69,8.03,6,5,7.69,5.19,6.52
France,Hauts-de-France,7.36,4.15,3.89,8.97,6.47,4.68,7.47,6.17,5,7.29,5.19,6.06
France,Grand Est,7.75,5.36,4.3,9.54,7.89,5.37,7.58,6.67,5.57,8.53,5.19,6.7
France,Pays de la Loire,8.29,6.63,4.26,9.43,8.87,6.65,8.52,6.5,5.57,8.17,6.3,7.2
France,Brittany,8.65,6.57,4.27,9.43,7.92,7.11,8.56,6.67,6.15,8.05,6.67,7.28
France,Nouvelle-Aquitaine,8.02,5.78,4.29,9.2,8.58,6.51,7.95,6.5,6.15,8.05,6.67,7.06
France,Occitanie,7.77,5.21,4.1,9.08,8.86,6.7,8.07,7,5.57,8.21,6.3,6.99
France,Auvergne-Rhône-Alpes,8.24,6.55,4.54,8.85,9.28,5.28,7.7,7.17,5,9.2,6.3,7.1
France,Provence-Alpes-Côte d’Azur,7.45,5.39,4.41,7.7,8.85,5.69,7.6,7.33,3.85,7.37,5.93,6.51
France,Corsica,,4.02,3.84,2.87,9.94,6.47,5.38,4.33,4.43,10,8.15,5.94
Hungary,Central Hungary,9.39,7.4,1.95,9.43,2.28,1.56,5.03,8.5,1.55,5.78,0,4.81
Hungary,Central Transdanubia,8.43,8.6,2.12,9.43,0.64,2.75,4.02,7.83,1.55,7.17,0.37,4.81
Hungary,Western Transdanubia,8.81,8.65,2.11,9.54,1.01,2.8,4.29,7.5,2.13,5.26,0.74,4.8
Hungary,Southern Transdanubia,7.88,6.3,1.84,9.43,0.78,3.17,3.55,7,2.13,7.81,0,4.53
Hungary,Northern Hungary,8.04,6.65,1.69,9.43,0,2.66,3.8,6.17,1.55,6.25,0,4.2
Hungary,Northern Great Plain,7.56,6.22,1.69,9.08,0.48,2.98,3.41,6.33,0.98,5.1,0,3.98
Hungary,Southern Great Plain,8.41,7.7,1.87,,0.48,3.26,3.39,6.33,2.13,7.05,0,4.06
Ireland,"Border, Midland and Western",7.5,3.33,3.26,9.89,7.49,8.72,4.68,7.5,7.04,9.64,7.78,6.98
Ireland,Southern and Eastern,8.5,8.69,3.92,9.43,7.59,8.44,4.8,8.67,6.43,10,7.04,7.59
Israel,Jerusalem,8.54,6.16,1.45,9.2,9.4,1.93,5.38,3.04,0,8.41,8.15,5.6
Israel,North,8.09,6.81,1.62,8.39,7.22,2.29,5.13,5.1,0.52,3.67,7.04,5.08
Israel,Haifa,9.04,8.17,2.61,,7.88,1.93,4.89,6.65,1.78,5.42,8.15,5.65
Israel,Central,9.32,9.64,3.09,8.97,9.39,1.61,6.3,7.24,1.78,7.45,8.52,6.66
Israel,Tel Aviv,9.3,9.61,3.56,9.2,8.92,0.92,5.3,6.58,1.84,7.37,8.89,6.5
Israel,South,8.91,7.72,2,8.05,7.13,0.5,4.48,5.35,1.09,7.73,8.52,5.59
Iceland,Reykjavik Region,6.93,8.48,3.37,8.85,8.39,10,6.76,9.17,3.61,10,7.41,7.54
Iceland,Other Regions,4.55,8.82,3.37,10,7.92,10,7.08,8.83,3.61,9.48,8.15,7.44
Italy,Piedmont,4.78,6.01,4.93,9.89,8.62,0,6.86,7,4.94,8.41,5.19,6.06
Italy,Aosta Valley,4.35,6.63,4.73,10,8.33,1.97,6.26,6,4.43,3.67,6.3,5.7
Italy,Liguria,5.44,5.01,4.94,9.89,8.79,0,6.2,7.17,5.92,9.04,3.33,5.97
Italy,Lombardy,5.31,6.27,5.38,9.77,9.52,0,7.19,7.5,4.43,6.49,4.44,6.03
Italy,Abruzzo,5.53,3.86,3.7,9.54,8.52,3.26,6.88,7.17,4.89,7.93,3.7,5.91
Italy,Molise,4.96,2.29,3.19,10,8.34,4.5,6.16,6.17,5,3.43,1.85,5.08
Italy,Campania,3.89,0,2.77,9.43,6.75,3.58,5.42,6.33,2.99,5.58,1.85,4.42
Italy,Apulia,3.57,0.86,3.04,9.08,8.76,5.5,5.56,6,3.79,5.34,2.96,4.95
Italy,Basilicata,5.06,2.1,2.91,9.66,8.39,6.51,6.02,5.83,4.08,7.45,4.81,5.71
Italy,Calabria,4.26,0,2.72,9.2,8.04,6.42,4.52,5.17,4.31,5.26,1.11,4.64
Italy,Sicily,3.81,0,2.85,9.77,7.33,5.92,4.29,6,4.37,5.78,2.96,4.83
Italy,Sardinia,3.85,6.01,3.36,9.31,8.99,5.73,4.85,6.83,4.89,8.25,4.07,6.01
Italy,Bolzano-Bozen,5.4,8.8,5.9,10,9.87,2.06,6.67,7,3.91,8.53,5.93,6.73
Italy,Trento,6.67,7.45,4.96,9.66,9.87,5.32,6.67,7.33,4.25,8.53,5.93,6.97
Italy,Veneto,5.47,6.7,4.78,10,9.54,0,7.58,7.17,5.23,6.81,4.44,6.16
Italy,Friuli-Venezia Giulia,6.01,6.54,4.88,9.77,9.1,1.47,6.84,7,5.98,8.37,5.19,6.47
Italy,Emilia-Romagna,5.6,7.28,5.35,10,9.22,0,7.49,7.5,5.23,6.25,4.44,6.21
Italy,Tuscany,5.26,6.39,4.66,10,9.3,0.83,7.29,7,5.46,7.29,3.7,6.11
Italy,Umbria,6.01,5.3,4.21,10,9.43,3.12,7.47,6.83,5.06,3.71,3.7,5.89
Italy,Marche,5.42,4.64,4.35,10,9.21,2.16,7.29,7.33,5.06,6.06,3.33,5.9
Italy,Lazio,6.27,4.35,4.4,9.89,8.64,3.58,6.32,7.17,4.37,8.21,3.7,6.08
Japan,Hokkaido,2.3,8.64,3.68,9.89,9.95,6.51,3,2.54,5.57,6.25,3.33,5.61
Japan,Tohoku,3.24,9.2,3.72,9.89,9.79,5.87,2.22,3.56,6.15,6.65,2.22,5.68
Japan,"Northern-Kanto, Koshin",2.23,9.33,4.13,9.77,10,5.69,2.48,4.69,5.57,8.49,3.7,6.01
Japan,Southern-Kanto,0,9.27,4.97,9.66,10,4.59,2.34,6.59,5,6.97,3.7,5.74
Japan,Hokuriku,2.25,9.77,4.45,9.77,10,5.41,1.79,4.99,8.45,6.49,3.33,6.06
Japan,Toukai,1.46,9.65,4.51,9.66,10,5.05,2.63,5.19,6.15,7.49,3.7,5.95
Japan,Kansai region,0.82,8.73,4.13,9.31,10,4.17,1.95,5.64,7.87,7.81,3.33,5.8
Japan,Chugoku,1.93,9.23,4.23,9.66,10,4.08,2.09,3.45,7.87,6.97,2.59,5.65
Japan,Shikoku,1.84,8.86,3.76,9.43,10,4.59,1.62,3,6.72,6.77,2.59,5.38
Japan,"Kyushu, Okinawa",2.35,8.94,3.53,9.77,10,3.99,1.87,2.81,6.15,7.41,2.96,5.43
Korea,Seoul Region,8.81,7.28,4.17,9.08,9.15,0,7.33,10,1.95,3.03,3.33,5.83
Korea,Gyeongnam,7.81,6.77,3.76,8.62,7.78,0,7.33,10,2.59,2.51,3.33,5.5
Korea,Gyeongbuk,7.08,7.09,3.52,8.85,7.98,0,7.17,10,3.05,0.32,2.22,5.21
Korea,Jeolla,6.49,7.07,3.43,9.31,8.01,0,7.8,10,3.1,1.67,2.96,5.44
Korea,Chungcheong,7.43,7.56,3.69,8.74,8.46,0,6.8,10,2.64,2.67,3.7,5.61
Korea,Gangwon,6.26,6.97,3.41,9.31,7.6,0,6.67,10,2.7,1.35,2.22,5.14
Korea,Jeju,7.59,8.9,3.63,7.01,9.4,2.11,6.26,10,2.47,2.03,2.59,5.64
Lithuania,Alytus,10,5.08,,3.45,0,4.13,2.94,4.43,3.56,,,4.2
Lithuania,Kaunas,10,7.52,,3.56,0.71,4.54,1.03,5.98,2.99,,,4.54
Lithuania,Klaipeda,9.93,7.9,,3.45,0.86,5.55,0,4.9,2.41,,,4.38
Lithuania,Marijampole,9.64,5.37,,0,0,4.45,0.29,4.25,3.74,,,3.47
Lithuania,Panevežys,9.36,4.93,,5.06,0,5.6,0.16,5.33,3.74,,,4.27
Lithuania,Šiauliai,9.29,4.76,,2.18,0,5.83,0.45,3.87,3.62,,,3.75
Lithuania,Taurage,8.79,5.48,,4.83,0,10,2.01,4.13,4.71,,,4.99
Lithuania,Telšiai,9.38,5.89,,3.22,0.2,5.23,0,5.3,2.13,,,3.92
Lithuania,Utena,9.73,3.49,,2.99,0,6.06,2.05,3.73,3.51,,,3.94
Lithuania,Vilnius,10,7.94,,5.52,0.76,5.73,2.01,4.82,2.59,,,4.92
Luxembourg,Luxembourg,7.22,6.81,7.05,10,7.76,6.01,10,9.83,6.11,6.22,6.67,7.61
Latvia,Kurzeme,,5.62,,8.16,0.16,6.83,3.41,5.29,0.98,,,4.35
Latvia,Latgale,,2.98,,3.1,0,6.1,1.07,5,1.55,,,2.83
Latvia,Riga,,7.33,,5.63,0.83,6.06,5.73,6.95,0.98,,,4.79
Latvia,Pieriga,,7.63,,7.01,0.83,6.51,4.66,6.66,1.55,,,4.98
Latvia,Vidzeme,,5.51,,8.05,0,6.42,3.76,5.39,1.55,,,4.38
Latvia,Zemgale,,5.7,,6.09,0,6.01,2.81,5.47,2.13,,,4.03
Mexico,Aguascalientes,1.44,6.76,0.15,3.45,2.14,7.06,0,2.41,0.69,0,7.04,2.83
Mexico,Baja California,1.53,7.27,0.51,0,0.45,6.15,0,5.65,0.86,3.19,6.3,2.9
Mexico,Baja California Sur,2.21,7.42,0.42,0,2.12,8.9,2.22,6.61,0.29,6.85,10,4.28
Mexico,Campeche,1.14,6.45,0.05,1.38,1.81,7.06,3.98,3.91,0,2.87,10,3.51
Mexico,Coahuila,1.64,6.25,0.16,0.57,1.68,7.48,0.66,1.99,1.21,0,5.56,2.47
Mexico,Colima,1.55,7.61,0.19,0,1.35,6.97,3.78,4.2,0.11,4.62,6.3,3.34
Mexico,Chiapas,0,5.95,0,0,0.34,5.92,0.92,0,0,1,5.56,1.79
Mexico,Chihuahua,1.03,7.16,0.21,0,0.13,8.3,0,2.34,1.44,7.45,7.41,3.22
Mexico,Mexico City,4.37,6.8,0.74,0,1.91,0.73,0.49,6.07,1.72,5.74,8.89,3.41
Mexico,Durango,0.75,6.71,0,0,2.56,8.39,0,0.18,0.69,4.26,7.04,2.78
Mexico,Guanajuato,0,6.67,0.04,0,0.93,5.18,0.84,0.55,0,0,6.3,1.86
Mexico,Guerrero,0.02,6.97,0,0,1.89,5.87,3,0,0,1.08,4.07,2.08
Mexico,Hidalgo,0.07,6.46,0,0,1.68,3.12,0.74,0,0.4,1.08,4.44,1.64
Mexico,Jalisco,0.94,7.49,0.19,0,1.41,6.74,2.28,2.85,0.52,1.75,8.52,2.97
Mexico,Edo. Mexico,1.27,6.36,0,0,1.91,1.7,1.79,2.28,0.4,2.63,7.41,2.34
Mexico,Michoacan,0,7.13,0,0,1.64,5.5,2.69,0.62,0,0.88,9.63,2.55
Mexico,Morelos,0.86,6.68,0.04,0,1.37,1.61,2.77,2.99,0.34,7.93,5.19,2.71
Mexico,Nayarit,1.27,7.51,0.02,0,1.96,8.49,0,0.66,0.52,4.86,7.78,3.01
Mexico,Nuevo Leon,2.42,7.03,0.43,0,2.74,6.42,3.47,4.69,1.21,4.34,8.89,3.79
Mexico,Oaxaca,0,7.23,0,0,1.14,6.15,0,0.39,0,0,7.04,2
Mexico,Puebla,0,6.95,0,0,0.49,2.8,0,0,0,0.96,5.93,1.56
Mexico,Queretaro,1.41,5.33,0.3,0,1.25,4.04,3.22,2.29,0.46,4.58,8.52,2.85
Mexico,Quintana Roo,1.69,8.18,0.29,0,1.31,9.4,0,5.06,0,9.6,10,4.14
Mexico,San Luis Potosi,0.82,7.08,0,0,1.53,6.38,3.2,0,0.46,0,5.93,2.31
Mexico,Sinaloa,2.35,6.79,0.16,0,2.63,7.8,0,4,0.29,0,10,3.09
Mexico,Sonora,2.28,7.42,0.25,0,1.41,7.75,2.09,7.5,0.92,0,10,3.6
Mexico,Tabasco,1.62,4.87,0,0,0.87,3.9,3.12,2.91,0,6.57,6.3,2.74
Mexico,Tamaulipas,1.57,6.81,0.2,0,2.41,6.93,0.68,3.51,0.57,0,10,2.97
Mexico,Tlaxcala,0.5,6.92,0,0,1.86,2.52,0,0,0.11,3.59,8.52,2.18
Mexico,Veracruz,0.3,5.4,0,0,0.87,4.17,0.86,0.02,0.06,2.79,5.56,1.82
Mexico,Yucatan,0.71,8.17,0,7.7,1.53,8.44,5.98,4.73,0,8.88,10,5.1
Mexico,Zacatecas,0,6.19,0,0,1.95,8.58,0.76,0,0.75,7.93,4.44,2.78
Netherlands,Groningen,7.54,7.48,3.98,9.89,6.13,5.5,8.11,10,9.02,9.96,9.26,7.9
Netherlands,Friesland,6.54,8.69,3.99,9.89,7.15,5.69,8.36,9.83,9.6,8.29,9.26,7.93
Netherlands,Drenthe,6.38,8.86,4.12,9.89,6.88,5.5,8.34,10,9.02,10,8.89,7.99
Netherlands,Overijssel,6.86,9.15,4.01,8.97,7.22,5.32,8.56,9.67,9.02,9.8,8.89,7.95
